,марка,цена,год выпуска,город
0,LADA Largus,500 000,2018,в Тургенево
1,Skoda Rapid,340 000,2014,в Саранске
2,BMW X3,1 200 000,2013,в Саранске
3,LADA Priora,277 000,2012,в Саранске
4,Mazda 3,140 000,2005,в Рузаевке
5,Renault Fluence,190 000,2010,в Рузаевке
6,LADA Kalina,100 000,2007,в Саранске
7,Renault Sandero Stepway,439 000,2013,в Саранске
8,Renault Sandero Stepway,385 000,2012,в Саранске
9,ВАЗ 2114 Samara,85 000,2007,в Ковылкино
10,Hyundai ix35,670 000,2012,в Саранске
11,Opel Corsa,50 000,2008,в Рузаевке
12,LADA Kalina,160 000,2010,в Рузаевке
13,BMW 3 серия,470 000,2007,в Саранске
14,Chevrolet Lacetti,295 000,2007,в Саранске
15,Renault Duster,489 000,2014,в Саранске
16,Toyota Land Cruiser Prado,1 250 000,2010,в Рузаевке
17,Volvo XC60,1 090 000,2010,в Саранске
18,Mitsubishi Lancer,267 000,2006,в Саранске
19,Chevrolet Lacetti,270 000,2008,в Саранске
20,Ford Focus,105 000,2001,в Саранске
21,ГАЗ ГАЗель 3302,250 000,2006,в Саранске
22,Mitsubishi Lancer,165 000,2004,в Саранске
23,Chevrolet Lanos,120 000,2008,в Атяшево
24,Mazda 6,605 000,2011,в Саранске
25,Geely Emgrand X7,475 000,2014,в Рузаевке
26,SsangYong Rexton,450 000,2008,в Рузаевке
27,Toyota Avensis,495 000,2008,в Рузаевке
28,LADA Priora,395 000,2015,в Саранске
29,Mitsubishi Lancer,235 000,2006,в Теньгушево
30,Daewoo Matiz,135 000,2011,в Саранске
31,Hyundai ix35,670 000,2011,в Саранске
32,Audi A6,660 000,2009,в Рузаевке
33,LADA 4x4 (Нива),100 000,2003,в Саранске
34,ВАЗ 2107,83 000,2009,в Саранске
35,LADA 4x4 (Нива),320 000,2013,в Атяшево
36,ВАЗ 2102,15 000,1972,в Зубовой Поляне
37,LADA Kalina,130 000,2011,в Тургенево
38,Toyota Corolla,500 000,2008,в Саранске
39,Chevrolet Cruze,495 000,2012,в Рузаевке
40,BMW X1,800 000,2013,в Саранске
41,Renault Logan,330 000,2008,в Саранске
42,LADA Kalina,165 000,2010,в Саранске
43,Audi 80,70 000,1990,в Саранске
44,LADA Granta,170 000,2015,в Саранске
45,Hyundai i30,635 000,2014,в Саранске
46,Hyundai Solaris,460 000,2015,в Саранске
47,ВАЗ 2112,90 000,2007,в Атяшево
48,Hyundai Accent,35 000,2007,в Зубовой Поляне
49,Chevrolet Niva,240 000,2007,в Темникове
50,Toyota Corolla,480 000,2008,в Больших Березниках
51,Volkswagen Jetta,599 999,2013,в Саранске
52,SsangYong Actyon,550 000,2012,в Саранске
53,Volkswagen Transporter,790 000,2006,в Ромоданово
54,Toyota Camry,1 080 000,2015,в Саранске
55,LADA Kalina,178 000,2011,в Саранске
56,Audi 80,78 000,1987,в Саранске
57,Ford Focus,300 000,2009,в Рузаевке
58,Ford Focus,235 000,2006,в Краснослободске
59,Audi A6,235 000,1998,в Рузаевке
60,LADA Largus,500 000,2018,в Тургенево
61,Skoda Rapid,340 000,2014,в Саранске
62,BMW X3,1 200 000,2013,в Саранске
63,LADA Priora,277 000,2012,в Саранске
64,Toyota Land Cruiser Prado,1 250 000,2010,в Рузаевке
65,Opel Corsa,50 000,2008,в Рузаевке
66,LADA Priora,395 000,2015,в Саранске
67,Renault Sandero Stepway,385 000,2012,в Саранске
68,Renault Sandero Stepway,439 000,2013,в Саранске
69,Renault Duster,489 000,2014,в Саранске
70,Volvo XC60,1 090 000,2010,в Саранске
71,ГАЗ ГАЗель 3302,250 000,2006,в Саранске
72,Hyundai ix35,670 000,2012,в Саранске
73,ВАЗ 2114 Samara,85 000,2007,в Ковылкино
74,SsangYong Actyon,550 000,2012,в Саранске
75,Daewoo Matiz,125 000,2005,в Рузаевке
76,Mazda 3,140 000,2005,в Рузаевке
77,Mitsubishi Lancer,235 000,2006,в Теньгушево
78,LADA Kalina,160 000,2010,в Рузаевке
79,Renault Fluence,190 000,2010,в Рузаевке
80,Toyota Avensis,495 000,2008,в Рузаевке
81,Audi A6,660 000,2009,в Рузаевке
82,ВАЗ 2107,83 000,2009,в Саранске
83,Daewoo Matiz,135 000,2011,в Саранске
84,SsangYong Rexton,450 000,2008,в Рузаевке
85,LADA Kalina,100 000,2007,в Саранске
86,LADA 4x4 (Нива),320 000,2013,в Атяшево
87,Geely Emgrand X7,475 000,2014,в Рузаевке
88,Mitsubishi Lancer,267 000,2006,в Саранске
89,Mazda 6,605 000,2011,в Саранске
90,Chevrolet Cruze,495 000,2012,в Рузаевке
91,Chevrolet Lacetti,270 000,2008,в Саранске
92,Chevrolet Lanos,120 000,2008,в Атяшево
93,SsangYong Actyon,550 000,2012,в Саранске
94,Toyota Corolla,500 000,2008,в Саранске
95,Ford Focus,105 000,2001,в Саранске
96,Mitsubishi Lancer,165 000,2004,в Саранске
97,Renault Logan,330 000,2008,в Саранске
98,Volkswagen Jetta,599 999,2013,в Саранске
99,Volkswagen Transporter,790 000,2006,в Ромоданово
100,Hyundai ix35,670 000,2011,в Саранске
101,Hyundai i30,635 000,2014,в Саранске
102,Volkswagen Touareg,610 000,2008,в Саранске
103,Toyota Corolla,480 000,2008,в Больших Березниках
104,LADA 4x4 (Нива),100 000,2003,в Саранске
105,Toyota Camry,1 080 000,2015,в Саранске
106,Hyundai Accent,35 000,2007,в Зубовой Поляне
107,Chevrolet Niva,240 000,2007,в Темникове
108,Hyundai Solaris,460 000,2015,в Саранске
109,Volkswagen Golf,560 000,2012,в Саранске
110,Audi 80,70 000,1990,в Саранске
111,LADA Kalina,165 000,2010,в Саранске
112,ВАЗ 2112,90 000,2007,в Атяшево
113,ВАЗ 2102,15 000,1972,в Зубовой Поляне
114,BMW X1,800 000,2013,в Саранске
115,KIA Rio,765 000,2019,в Краснослободске
116,LADA Granta,170 000,2015,в Саранске
117,Renault Logan,510 000,2016,в Ардатове
118,LADA Kalina,130 000,2011,в Тургенево
119,LADA Kalina,178 000,2011,в Саранске
120,LADA Largus,500 000,2018,в Тургенево
121,Skoda Rapid,340 000,2014,в Саранске
122,BMW X3,1 200 000,2013,в Саранске
123,LADA Priora,277 000,2012,в Саранске
124,Toyota Land Cruiser Prado,1 250 000,2010,в Рузаевке
125,Opel Corsa,50 000,2008,в Рузаевке
126,LADA Priora,395 000,2015,в Саранске
127,Renault Sandero Stepway,439 000,2013,в Саранске
128,BMW 3 серия,470 000,2007,в Саранске
129,Renault Sandero Stepway,385 000,2012,в Саранске
130,Volvo XC60,1 090 000,2010,в Саранске
131,ГАЗ ГАЗель 3302,250 000,2006,в Саранске
132,Hyundai ix35,670 000,2012,в Саранске
133,BMW 5 серия,1 000 600,2012,в Саранске
134,SsangYong Actyon,550 000,2012,в Саранске
135,Chevrolet Lacetti,295 000,2007,в Саранске
136,Mazda 3,140 000,2005,в Рузаевке
137,Mitsubishi Lancer,235 000,2006,в Теньгушево
138,LADA Kalina,160 000,2010,в Рузаевке
139,Renault Fluence,190 000,2010,в Рузаевке
140,Toyota Avensis,495 000,2008,в Рузаевке
141,Audi A6,660 000,2009,в Рузаевке
142,ВАЗ 2107,83 000,2009,в Саранске
143,Daewoo Matiz,135 000,2011,в Саранске
144,SsangYong Rexton,450 000,2008,в Рузаевке
145,LADA Kalina,100 000,2007,в Саранске
146,LADA 4x4 (Нива),320 000,2013,в Атяшево
